company_name,organization_type,location,region,sector,near_term_status,near_term_target_classification,near_term_target_year,long_term_status,long_term_target_classification,long_term_target_year, net_zero_status,net_zero_year,full_target_language,ba15_status,ba15_date ,target_classification_long,reason_for_extension_or_removal,date_updated,Geography,Geography Code,Sector,CA100 Company?,Large/Medium Classification,SEDOL,Assessment Date,Level,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose materially important Scope 3 emissions?,Q13L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q14L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q15L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q16L4|Does the company undertake climate scenario planning?,Q17L4|Does the company disclose an internal price of carbon?,Q18L4|Does the company disclose the actions necessary to meet its emissions-reduction targets?,Q19L5|Does the company quantify the key elements of its emissions reduction strategy and the proportional impact of each action in achieving its targets?,Q20L5|Does the company's transition plan clarify the role that will be played by offsets and/or negative emissions technologies?,Q21L5|Does the company commit to phasing out capital expenditure on carbon intensive assets or products?,Q22L5|Does the company align future capital expenditures with its long-term decarbonisation goals and disclose how the alignment is determined?,Q23L5|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?
Paramount Global,Corporate,United States of America,Northern America,Media,Committed,,,,,,Commitment removed,,,BA1.5 member,10/14/21 1:00,,Expired commitment,10/14/21 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paramount Global,,,,,,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,medium,BKTNTR9,3/25/24,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Pepsico,Corporate,United States of America,Northern America,Food and Beverage Processing,Targets set,1.5C,2030,,,,Committed,,PepsiCo commits to reduce absolute scope 1 and 2 GHG emissions 75% and scope 3 GHG emissions 40% by 2030 from a 2015 base year. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks.,BA1.5 member,4/1/20 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,1/14/21 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepsico,,,,,,,,,,,,,,,,,,,United States of America,USA,Consumer Goods,No,large,2681511,4/5/24,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes
Pepsico,,,,,,,,,,,,,,,,,,,United States of America,USA,Consumer Goods,No,large,2681511,4/21/23,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Pfizer,Corporate,United States of America,Northern America,"Pharmaceuticals, Biotechnology and Life Sciences",Targets set,1.5C,2030,,,,Commitment removed,,"Pfizer Inc. commits to reduce absolute scope 1 and 2 GHG emissions 46% by 2030 from a 2019 base year. Pfizer Inc. commits to increase annual sourcing of renewable electricity from 9% in 2019 to 100% by 2030. Pfizer Inc. commits to reduce absolute scope 3 emissions 25% from business travel by 2025 from a 2019 base year. Pfizer Inc. commits to reduce absolute scope 3 emissions 10% from upstream transportation and distribution by 2025 from a 2019 base year. Pfizer Inc. also commits that 64% of its suppliers by spend covering purchased goods & services, will have science-based targets by 2025. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks.",BA1.5 member,6/3/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,Expired commitment,6/2/22 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pfizer,,,,,,,,,,,,,,,,,,,United States of America,USA,Health Care,No,large,2684703,3/5/24,5,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
Pfizer,,,,,,,,,,,,,,,,,,,United States of America,USA,Health Care,No,large,2684703,4/17/23,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,No,Yes,No,No,No,No,No,No,No,No
PG&E Corporation,Corporate,United States of America,Northern America,"Electric Utilities and Independent Power Producers and Energy Traders (including Fossil, Alternative and Nuclear Energy)",Committed,,,,,,,,,,,,,8/4/22 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denso Corporation,,,,,,,,,,,,,,,,,,,Japan,JPN,Consumer Goods,No,large,6640381,4/29/24,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
Denso Corporation,,,,,,,,,,,,,,,,,,,Japan,JPN,Consumer Goods,No,large,6640381,4/21/23,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Philip Morris International,Corporate,United States of America,Northern America,Tobacco,Targets set,1.5C,2030,Targets set,1.5C,2040,Targets set,2040,"Overall net-zero target:
Philip Morris International Inc. commits to reach net-zero greenhouse gas emissions across the value chain by 2040.
Near-term targets:
Energy & Industry: Philip Morris International commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 base year.*
Philip Morris International also commits to reduce absolute scope 3 GHG emissions 27.5% within the same timeframe.* Philip Morris International
further commits that 15% of its suppliers by spend covering purchased goods and services will have science-based targets by 2025.
*The target boundary includes land-related emissions and removals from bioenergy feedstocks.
FLAG: Philip Morris International commits to reduce absolute scope 3 FLAG GHG emissions 33.3% by 2030 from a 2019 base year.** Philip Morris
International commits to no deforestation across its primary deforestation-linked commodities, with a target date of December 31, 2025.
**Target includes FLAG emissions and removals.
Long-term targets:
Energy & Industry: Philip Morris International Inc. commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2040 from a 2019 base
year.* Philip Morris International Inc. also commits to reduce absolute scope 3 GHG emissions 90% within the same timeframe.*
*The target boundary includes land-related emissions and removals from bioenergy feedstocks.
FLAG: Philip Morris International commits to reduce absolute scope 3 FLAG GHG emissions 72% by 2040 from a 2019 base year.**
**Target includes FLAG emissions and removals.",BA1.5 member,3/4/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,1/9/25 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minor International,,,,,,,,,,,,,,,,,,,Thailand,THA,Consumer Services,No,large,B018C06,4/30/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No
Pinterest,Corporate,United States of America,Northern America,Software and Services,Targets set,1.5C,2030,,,,,,Pinterest commits to reduce absolute scope 1 and 2 GHG emissions 39% by 2027 from a 2019 base year. Pinterest also commits to increase active annual sourcing of renewable electricity from 34% in 2019 to 100% by 2023 and through 2030. Pinterest further commits to reduce scope 3 GHG emissions 70% per USD gross profit by 2027 from a 2019 base year.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,1/11/24 1:00,United States of America,USA,Technology,No,medium,BJ2Z0H2,1/5/24,0,new,No,No,No,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
PPG Industries,Corporate,United States of America,Northern America,Chemicals,Targets set,1.5C,2030,,,,,,"""PPG Industries commits to reduce absolute scope 1 and 2 GHG emissions
50% by 2030 from a 2019 base year. PPG Industries also commits to
reduce absolute scope 3 GHG emissions from purchased goods and
services, processing of sold products, and end-of-life treatment of sold
products 30% within the same timeframe.""",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,5/25/23 1:00,United States of America,USA,Chemicals,No,large,2698470,4/12/23,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Procter & Gamble,Corporate,United States of America,Northern America,"Consumer Durables, Household and Personal Products",Targets set,1.5C,FY2030,,,,Commitment removed,,"P&G commits to reduce absolute scope 1 and 2 GHG emissions 63% by FY2030 from a FY2015 base year. P&G commits to increase active annual sourcing of renewable electricity from 21% in FY2015 to 100% by FY2030.
P&G also commits to reduce scope 3 GHG emissions from purchased goods and services 40% per unit of production by FY2030 from a FY2020 base year.
P&G commits to reduce scope 3 GHG emissions from upstream transportation and distribution 50% per tonne-kilometer over the same timeframe",BA1.5 member,9/16/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,Expired commitment,11/9/23 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Procter & Gamble,,,,,,,,,,,,,,,,,,,United States of America,USA,Consumer Goods,Yes,large,2704407,4/5/24,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No
Procter & Gamble,,,,,,,,,,,,,,,,,,,United States of America,USA,Consumer Goods,Yes,large,2704407,4/26/23,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No
Public Service Enterprise Group,Corporate,United States of America,Northern America,"Electric Utilities and Independent Power Producers and Energy Traders (including Fossil, Alternative and Nuclear Energy)",Commitment removed,,,,,,,,,BA1.5 member,9/29/21 1:00,,Expired commitment,9/29/21 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Service Enterprise Group,,,,,,,,,,,,,,,,,,,United States of America,USA,Electricity Utilities,No,large,2707677,1/5/24,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,Yes,No,No,No,No,No
Public Service Enterprise Group,,,,,,,,,,,,,,,,,,,United States of America,USA,Electricity Utilities,No,large,2707677,4/26/23,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,No,No,No,No,No,No,No,No
Regal Rexnord Corporation,Corporate,United States of America,Northern America,Electrical Equipment and Machinery,Commitment removed,,,,,,Commitment removed,,,BA1.5 member,9/15/22 1:00,,Expired commitment,9/15/22 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regal Rexnord Corporation,,,,,,,,,,,,,,,,,,,United States of America,USA,Industrials,No,small,2730082,4/5/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,No,No,Yes,No,No,No,No,Yes
Republic Services,Corporate,United States of America,Northern America,Solid Waste Management Utilities,Targets set,Well-below 2°C,2030,,,,,,"Solid waste collection, transfer, disposal, recycling, and energy services provider Republic Services, commits to reduce absolute total Scope 1 and 2 GHG emissions 35% by 2030 from a 2017 baseline year*. *The target boundary includes biogenic emissions from biogenic feedstocks",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,9/23/19 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic Services,,,,,,,,,,,,,,,,,,,United States of America,USA,Industrials,No,large,2262530,4/30/24,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Republic Services,,,,,,,,,,,,,,,,,,,United States of America,USA,Industrials,No,large,2262530,4/24/23,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Rockwell Automation Inc.,Corporate,United States of America,Northern America,Electrical Equipment and Machinery,Committed,,,,,,Committed,,,,,,,1/18/24 1:00,United States of America,USA,Industrials,No,medium,2754060,3/5/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Sealed Air,Corporate,United States of America,Northern America,Containers and Packaging,Targets set,1.5C,2030,,,,,,Sealed Air Corporation commits to reduce absolute scope 1 and 2 GHG emissions 46% by 2030 from a 2019 base year. Sealed Air Corporation commits to reduce absolute scope 3 GHG emissions from purchased goods and services as well as use of sold products 15% within the same timeframe.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,6/3/21 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sealed Air,,,,,,,,,,,,,,,,,,,United States of America,USA,Industrials,No,small,2232793,3/5/24,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Simon Property Group,Corporate,United States of America,Northern America,Real Estate,Targets set,1.5C,2035,,,,,,Simon Property Group commits to reduce absolute scope 1 and 2 GHG emissions 68% by 2035 from a 2019 base year. Simon Property Group also commits to reduce absolute scope 3 GHG emission from downstream leased assets 21% by 2035 from a 2018 base year.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,10/8/20 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Property Group,,,,,,,,,,,,,,,,,,,United States of America,USA,Financials,No,medium,2812452,3/5/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Sonoco Products Company,Corporate,United States of America,Northern America,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",Targets set,Well-below 2°C,2030,,,,,,Sonoco commits to reduce absolute scope 1 and 2 GHG emissions 25% by 2030 from a 2020 base year*. Sonoco also commits to reduce absolute scope 3 GHG emissions 13.5% by 2030 from a 2019 base year. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,7/8/21 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonoco Products,,,,,,,,,,,,,,,,,,,United States of America,USA,Industrials,No,small,2821395,4/25/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No
Stanley Black & Decker,Corporate,United States of America,Northern America,Electrical Equipment and Machinery,Targets set,1.5C,2030,,,,,,"Stanley Black & Decker commits to reduce absolute scope 1 and 2 GHG emissions 42% by 2030 from a 2022 base year. Stanley Black & Decker also commits to reduce scope 3 GHG
emissions from purchased goods and services 52% per kg of material purchased within the same timeframe. Stanley Black & Decker further commits to reduce scope 3 GHG emissions
from upstream transportation and distribution 52% per kg of material transported within the same timeframe. Stanley Black & Decker finally commits to reduce scope 3 GHG emissions from use of sold products 52% per kilowatt of sold product output power within the same timeframe.",BA1.5 member,9/23/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,1/16/25 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanley Black & Decker,,,,,,,,,,,,,,,,,,,United States of America,USA,Industrials,No,medium,B3Q2FJ4,4/5/24,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Not Applicable,Yes,No,No,Yes,No,No,No,No,No,No,No
Stanley Black & Decker,,,,,,,,,,,,,,,,,,,United States of America,USA,Industrials,No,medium,B3Q2FJ4,4/24/23,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Starbucks,Corporate,United States of America,Northern America,Food and Beverage Processing,Targets set,1.5C,FY2030,,,,,,"Starbucks commits to reduce absolute scope 1, scope 2, and scope 3 GHG emissions 50% by FY2030 from a FY2019 base year.",BA1.5 member,9/23/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,9/23/21 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starbucks,,,,,,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,large,2842255,3/5/24,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Starbucks,,,,,,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,large,2842255,4/17/23,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,No,No,Yes,No,No,No,No,No
STRYKER CORPORATION,Corporate,United States of America,Northern America,Healthcare Equipment and Supplies,Committed,,,,,,,,,,,,,1/11/24 1:00,United States of America,USA,Chemicals,No,medium,B01ZP20,3/25/24,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
Sylvamo Corporation,Corporate,United States of America,Northern America,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",Targets set,Well-below 2°C,2030,,,,,,Sylvamo commits to reduce absolute scope 1 and 2 GHG emissions 28.1% by 2030 from a 2019 base year.* Sylvamo commits to reduce absolute scope 3 GHG emissions 27.5% by 2030 by a 2019 base year. *The target boundary includes land-related emissions and removals from bioenergy feedstocks.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,5/4/23 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLA Corporation,,,,,,,,,,,,,,,,,,,United States of America,USA,Technology,No,large,2480138,4/18/24,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Synopsys,Corporate,United States of America,Northern America,Software and Services,Targets set,1.5C,2032,,,,,,"Synopsys commits to reduce absolute scope 1 and 2 GHG emissions 55% by
2032 from a 2019 base year. Synopsys also commits to reduce scope 3 GHG
emissions from employee commuting and business travel 62% per employee
within the same timeframe. Synopsys further commits to reduce scope 3 GHG
emissions from use of sold products 62% per lifetime verification task within
the same timeframe. Synopsys further commits that 45% of its suppliers by
spend, covering purchased goods and services, and capital goods, will have
science-based targets by 2027.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,9/28/23 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Synopsys,,,,,,,,,,,,,,,,,,,United States of America,USA,Technology,No,large,2867719,3/5/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No
Sysco Corporation,Corporate,United States of America,Northern America,Food and Staples Retailing,Targets set,Well-below 2°C,2030,,,,,,"Sysco Corporation commits to reduce absolute scope 1 and 2 GHG emissions 27.5% by 2030 from a 2019 base year*. Sysco Corporation also commits that 67% of its suppliers by emissions covering purchased goods and services and upstream transportation and distribution, will have science_x0002_based targets by 2026. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,8/25/22 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denso Corporation,,,,,,,,,,,,,,,,,,,Japan,JPN,Consumer Goods,No,large,6640381,4/29/24,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
Denso Corporation,,,,,,,,,,,,,,,,,,,Japan,JPN,Consumer Goods,No,large,6640381,4/21/23,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Target Corporation,Corporate,United States of America,Northern America,Retailing,Targets set,2°C,2030,,,,Committed,,US retailer Target commits to reduce absolute scope 1 and 2 emissions and scope 3 GHG emissions from retail purchased goods and services 30% by 2030 from a 2017 base-year. Target also commits that 80% of its suppliers by spend covering all purchased goods and services will set science-based scope 1 and scope 2 targets by 2023.,BA1.5 member,7/1/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C,,7/1/21 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metso Corporation,,,,,,,,,,,,,,,,,,,Finland,FIN,Industrials,No,medium,B1FN8X9,3/5/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No
Tesla,Corporate,United States of America,Northern America,Automobiles and Components,Committed,,,,,,,,,BA1.5 member,10/26/21 1:00,,Automakers pathway,10/26/21 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tesla,,,,,,,,,,,,,,,,,,,United States of America,USA,Autos,No,large,B616C79,4/30/24,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Tesla,,,,,,,,,,,,,,,,,,,United States of America,USA,Autos,No,large,B616C79,4/17/23,2,unchanged,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
The Cigna Group,Financial Institution,United States of America,Northern America,"Healthcare Providers and Services, and Healthcare Technology",Committed,,,,,,,,,,,,,5/2/24 1:00,United States of America,USA,Health Care,No,large,BHJ0775,4/5/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
Thermo Fisher Scientific,Corporate,United States of America,Northern America,"Pharmaceuticals, Biotechnology and Life Sciences",Targets set,1.5C,2030,Targets set,1.5C,2050,Targets set,2050,"Overall Net-Zero Target Thermo Fisher Scientific Inc. commits to reach net-zero greenhouse gas emissions across the value chain by 2050 from a 2018 base year. Near-Term Targets Thermo Fisher Scientific commits to reduce absolute scope 1 and 2 GHG emissions 50.4% by 2030 from a 2018 base year. Thermo Fisher also commits that 90% of its suppliers by spend covering purchased goods and services, capital goods, and upstream transportation and distribution will have science-based targets by 2027. Long-Term Targets Thermo Fisher commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2050 from a 2018 base year. Thermo Fisher also commits to reduce absolute scope 3 GHG emissions 90% by 2050 from a 2021 base year.",BA1.5 member,7/22/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,4/13/23 1:00,United States of America,USA,Health Care,No,large,2886907,4/24/23,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Tractor Supply,Corporate,United States of America,Northern America,Retailing,Committed,,,,,,,,,,,,,10/26/23 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tractor Supply,,,,,,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,medium,2900335,3/5/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,No,Yes,No,No,No,No,No,No,No,No
Tyson Foods,Corporate,United States of America,Northern America,Food and Beverage Processing,Targets set,2°C,2030,,,,,,"Tyson Foods, Inc. commits to reduce absolute Scope 1 and 2 GHG emissions 30% by 2030 from a 2016 base‐year. Tyson Foods, Inc. also commits to reduce Scope 3 GHG emissions from production of poultry, pork and beef (covering 80% of their scope 3 inventory) 30% per ton of finished meat by 2030 from a 2016 base‐year.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C,,9/26/18 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyson Foods,,,,,,,,,,,,,,,,,,,United States of America,USA,Food Producers,No,medium,,3/5/24,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
Tyson Foods,,,,,,,,,,,,,,,,,,,United States of America,USA,Food Producers,No,medium,,5/5/23,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No
UDR,Corporate,United States of America,Northern America,Real Estate,Commitment removed,,,,,,,,,,,,Expired commitment,8/5/21 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UDR,,,,,,,,,,,,,,,,,,,United States of America,USA,Financials,No,medium,2727910,3/27/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Ulta Beauty,Corporate,United States of America,Northern America,Retailing,Targets set,1.5C,FY2030,,,,,,"Ulta Beauty, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 90% by FY2030 from a FY2019 base year. Ulta Beauty, Inc. also commits to reduce absolute scope 3 GHG emissions covering use of sold products 28% by FY2030 from a FY2019 base year. Ulta Beauty, Inc. further commits that 68% of its suppliers by emissions covering purchased goods and services, will have science-based targets by FY2027.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,11/30/23 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulta Beauty,,,,,,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,medium,B28TS42,4/23/24,2,new,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Unitedhealth Group,Corporate,United States of America,Northern America,"Banks, Diverse Financials, Insurance",Committed,,,,,,Committed,,,BA1.5 member,6/9/22 1:00,,Financial institutions net-zero commitment: deadline 24 months from Financial Institutions Net-Zero Standard launch,6/9/22 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unitedhealth Group,,,,,,,,,,,,,,,,,,,United States of America,USA,Health Care,No,large,2917766,4/19/24,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,No,No,No,No,No,No,No,No
